,moyenne,minimum,maximum,count,somme
"(45.2046834709807, 5.70830119430464)",4011.7636640143414,3,8138,31243.0,125339118
"(45.2047169171474, 5.70829018171327)",4015.2064876559066,3,8142,31243.0,125446682
"(45.2048949664728, 5.70844515883081)",4021.5865331192836,9,8143,31243.0,125646014
"(45.204871499127, 5.70835932141087)",4024.387331267923,9,8148,31243.0,125733519
"(45.1789460576883, 5.72169593035983)",1906.8788686028427,21,5175,31243.0,59576780
"(45.1787640084076, 5.72149691289558)",1910.428611317847,16,5183,31243.0,59687686
"(45.1788444204044, 5.72129386979897)",1917.69133849623,7,5206,31243.0,59914590
"(45.1792368112015, 5.72087251517504)",1936.6615756609983,20,5269,31243.0,60507260
"(45.178974223577, 5.72083532343364)",1934.204572496893,9,5257,31243.0,60430502
"(45.1608865413344, 5.71897028117292)",2524.771758522178,9,5872,31243.0,78881779
"(45.1609767332767, 5.71871458948342)",2528.57956775629,10,5887,31243.0,79000743
"(45.1607156413887, 5.71946757643585)",2517.9182870261834,5,5843,31243.0,78667662
"(45.1609463347987, 5.71880306763817)",2527.173454716742,9,5882,31243.0,78956813
"(45.1607672972367, 5.71931147316682)",2520.079531873856,9,5852,31243.0,78735184
"(45.1611281311221, 5.71828641862222)",2535.5949631599174,9,5913,31243.0,79219919
"(45.1609158931556, 5.71888683371905)",2525.9853770468635,9,5877,31243.0,78919695
"(45.1610066945055, 5.71862875879479)",2529.95213675521,10,5893,31243.0,79043625
"(45.161038766462, 5.71853846841162)",2531.384049536661,10,5898,31243.0,79088361
"(45.1608546562294, 5.7190603273908)",2523.504941702225,10,5867,31243.0,78842201
"(45.1610700600418, 5.71845016926155)",2532.8302689083284,10,5903,31243.0,79133544
"(45.1607962379746, 5.7192297841211)",2521.126965765017,9,5857,31243.0,78767908
"(45.161100687314, 5.71836310415829)",2534.3026061859327,9,5908,31243.0,79179543
"(45.1645869331168, 5.70539862626997)",3104.693781827334,12,6887,31243.0,97000073
"(45.1657057638281, 5.70485007190437)",3102.8222537294246,2,6882,31243.0,96941580
"(45.1657260966937, 5.70485190457966)",3101.875745013085,1,6880,31243.0,96912008
"(45.1659370576901, 5.70499147939164)",3082.16472318621,13,6856,31243.0,96296176
"(45.1660349742443, 5.70549975167764)",3036.9469454680598,8,6801,31243.0,94883443
"(45.1660999412629, 5.70546805315755)",3037.0380779918355,8,6800,31243.0,94886289
"(45.1661358852082, 5.70539249220339)",3041.8035458403588,9,6806,31243.0,95035175
"(45.1643875617434, 5.70536668399104)",3116.1589503543655,9,6901,31243.0,97358281
"(45.1639700171409, 5.70572293543761)",3107.0512925045055,8,6889,31243.0,97073740
"(45.1751961431929, 5.73933005445608)",2086.663221199998,7,5788,31243.0,65194075
"(45.175010457774, 5.7386001243011)",2049.0907812389137,2,5736,31243.0,64020197
"(45.1747696964646, 5.73898657353545)",2070.1452483514236,3,5787,31243.0,64678007
"(45.1752896167029, 5.73881887057557)",2059.3157627340797,2,5737,31243.0,64339654
"(45.1753485495025, 5.73887883040166)",2062.257841020241,3,5738,31243.0,64431573
"(45.1751558925852, 5.73815932712721)",2026.7891068713316,10,5688,31243.0,63323421
"(45.1745631544523, 5.73967843526745)",2109.0585363486257,8,5861,31243.0,65893781
"(45.1749799194982, 5.73861673126362)",2050.0534454474587,2,5740,31243.0,64050274
"(45.1749966146445, 5.73887953601366)",2063.475798185906,13,5762,31243.0,64469630
"(45.1755473690793, 5.73897512861143)",2066.8550260910274,1,5733,31243.0,64575201
"(45.1755526708299, 5.73903094843654)",2069.7735899355343,1,5737,31243.0,64666386
"(45.1751434116442, 5.73835861043196)",2036.551564637166,6,5706,31243.0,63628431
"(45.1747529539005, 5.73916524871981)",2079.731900365751,6,5803,31243.0,64977524
"(45.1746153734736, 5.73958306112827)",2103.383443311172,9,5849,31243.0,65716473
"(45.1752260233239, 5.7392071589504)",2079.929716825373,3,5775,31243.0,64983699
"(45.174751610467, 5.73902334165985)",2072.1804422371265,3,5791,31243.0,64741593
"(45.1750852651697, 5.73949099311403)",2095.8813100129632,6,5810,31243.0,65482078
"(45.1750299640124, 5.73950023736647)",2096.6203333699245,6,5814,31243.0,65505168
"(45.1750979546588, 5.73937702366926)",2089.5786442611766,6,5799,31243.0,65285163
"(45.1752666956297, 5.73881434808149)",2059.145124219011,2,5738,31243.0,64334323
