,moyenne,minimum,maximum,count,somme
"(45.1736953368754, 5.73594875515552)",1940.0510298000318,2,5602,31243.0,60613463
"(45.1734642660065, 5.73530965924234)",1919.0965730377804,7,5566,31243.0,59958779
"(45.1732841036682, 5.73597811216238)",1944.9715826369345,2,5635,31243.0,60767201
"(45.173686471024, 5.73600438455849)",1942.2307929679773,2,5607,31243.0,60681566
"(45.1734727830519, 5.73524465915312)",1916.8026448745388,7,5560,31243.0,59887109
"(45.1732628328606, 5.73595926764168)",1944.4790224167548,2,5635,31243.0,60751812
"(45.173635962705, 5.73594198534742)",1940.2980085595027,2,5606,31243.0,60621180
"(45.1731997350134, 5.73597894711366)",1945.8817713963015,1,5641,31243.0,60795639
"(45.1734232667227, 5.73545907936512)",1924.6622324191094,11,5581,31243.0,60132669
"(45.1733866584553, 5.73555878724485)",1928.5322353145696,11,5592,31243.0,60253581
"(45.1736133735432, 5.73595552875098)",1941.0064423913893,2,5609,31243.0,60643314
"(45.1733578213356, 5.73566835782927)",1932.7487483002562,12,5603,31243.0,60385319
"(45.1732047694223, 5.73595974255602)",1945.100996211252,2,5639,31243.0,60771245
"(45.1736390655167, 5.73591574438351)",1939.2870075576254,2,5603,31243.0,60589593
"(45.1732905222122, 5.73599830345369)",1945.6778492306776,1,5636,31243.0,60789267
"(45.1732106896582, 5.7359884063078)",1946.1264352109072,1,5641,31243.0,60803283
"(45.1734422904819, 5.73576244072563)",1935.3712250819826,9,5605,31243.0,60467253
"(45.1806980225894, 5.72278802039182)",1907.4279099529642,10,5186,31243.0,59593907
"(45.1806368228361, 5.72237397237998)",1916.8030831077215,14,5219,31243.0,59886810
"(45.1805798707491, 5.72151668221041)",1940.004733782662,8,5293,31243.0,60611686
"(45.1806680084717, 5.72259800933264)",1911.596155644963,10,5201,31243.0,59724133
"(45.1807142952465, 5.72288517505327)",1905.378386661908,10,5178,31243.0,59529875
"(45.1806069290757, 5.7218179564384)",1931.6357734786782,8,5268,31243.0,60350219
"(45.1805389519343, 5.72126776102907)",1946.8411501299731,10,5314,31243.0,60825273
"(45.1806555122577, 5.72250661321801)",1913.699450624863,10,5209,31243.0,59789845
"(45.1806153168489, 5.72192244442474)",1928.8021282129812,8,5259,31243.0,60261689
"(45.1806205998792, 5.72224352505235)",1919.973226835856,14,5230,31243.0,59985853
"(45.1805942908658, 5.72168251019479)",1935.3404424104767,8,5279,31243.0,60465962
"(45.162789900475, 5.71677153975014)",2497.142114812508,20,5929,31243.0,78018506
"(45.1627799468853, 5.71695541369855)",2489.2666648563318,20,5913,31243.0,77772456
"(45.1652431769884, 5.70811860688994)",2870.7230726170005,6,6588,31243.0,89690154
"(45.1652752658587, 5.7080299222405)",2875.6236722696526,6,6594,31243.0,89843262
"(45.165408009698, 5.7082465082291)",2854.572644418267,5,6566,31243.0,89185566
"(45.1653631266272, 5.70825215762998)",2856.103977663604,5,6568,31243.0,89233410
"(45.1654575666613, 5.70814297429377)",2859.774123913605,5,6573,31243.0,89348074
"(45.1654117062379, 5.70811585305732)",2863.6515633662434,5,6579,31243.0,89469217
"(45.1653030735164, 5.70808306028201)",2870.644337662354,6,6588,31243.0,89687693
"(45.1653966835288, 5.70819982344897)",2858.3516817403165,4,6571,31243.0,89303634
"(45.1653363974781, 5.70813011501347)",2865.871229082238,4,6581,31243.0,89538567
"(45.1652253004459, 5.70790611440882)",2886.614421163815,7,6609,31243.0,90186645
"(45.1653863669165, 5.70801483046311)",2871.9199105184402,6,6590,31243.0,89727544
"(45.1653611199731, 5.70796655046729)",2876.449575584835,6,6596,31243.0,89869064
"(45.1653682994637, 5.70816564388507)",2861.9851074452904,4,6576,31243.0,89417153
"(45.1652493914662, 5.70797097711955)",2880.94049343487,7,6601,31243.0,90009375
"(45.1654646315443, 5.70808780752663)",2863.3897100447625,5,6578,31243.0,89461035
"(45.1652941913671, 5.70814158400839)",2866.88177252123,4,6582,31243.0,89570140
"(45.1634742688973, 5.73442013967265)",2235.9028168824693,9,6293,31243.0,69856804
"(45.1635574237259, 5.73419998187025)",2224.227790796667,8,6270,31243.0,69492039
"(45.1636002469018, 5.73447515863644)",2229.7941151702107,9,6286,31243.0,69665951
"(45.1635225651035, 5.73458907040939)",2238.1060606550977,10,6301,31243.0,69925642
"(45.1637442656311, 5.73394674119257)",2205.645115430127,2,6236,31243.0,68911458
"(45.1637636234298, 5.7338800313477)",2202.6563435014673,2,6230,31243.0,68818079
"(45.1636957462097, 5.73401427357361)",2210.461563538824,2,6245,31243.0,69061939
"(45.1637018947821, 5.7339830556262)",2209.2180329108105,1,6242,31243.0,69023087
"(45.1637390388743, 5.73394038000543)",2205.7871661985846,1,6236,31243.0,68915896
"(45.1636965971512, 5.73399189862)",2209.7856130850137,1,6243,31243.0,69040820
"(45.1637192239022, 5.73397450842298)",2207.930674246591,1,6240,31243.0,68982866
"(45.1634802055541, 5.73431585392106)",2232.4091750195253,7,6285,31243.0,69747651
"(45.1635187306321, 5.73426094889389)",2228.397891085987,7,6277,31243.0,69622326
"(45.1637506376057, 5.73386131478587)",2202.9362870528316,2,6229,31243.0,68826825
"(45.1637494506425, 5.73392388361227)",2204.7037934858595,1,6234,31243.0,68882048
"(45.163730277657, 5.73386222587961)",2204.1926341012027,2,6231,31243.0,68866077
"(45.1637543664485, 5.73391528144565)",2204.171005115548,1,6233,31243.0,68865402
"(45.1636330937064, 5.73408839796048)",2216.371664716715,8,6255,31243.0,69246589
"(45.1637412321231, 5.73392475608529)",2205.22759106664,1,6235,31243.0,68898413
"(45.1730782178478, 5.73100817997864)",1823.9772637810083,3,5250,31243.0,56986916
"(45.1730851417607, 5.73097567099926)",1823.5087922382188,3,5247,31243.0,56972279
"(45.1730913142378, 5.73094602375525)",1823.089642430756,3,5244,31243.0,56959183
"(45.1732159864457, 5.73096065941002)",1821.8392897543338,7,5235,31243.0,56920117
"(45.1732332028029, 5.73089990708135)",1820.9393144766218,7,5229,31243.0,56891998
"(45.1731886154399, 5.73064738325407)",1818.6763466989062,2,5213,31243.0,56821293
"(45.1731960145973, 5.7306235895272)",1818.353792243367,2,5211,31243.0,56811215
"(45.1732020949602, 5.73059780122547)",1818.0175711524964,2,5208,31243.0,56800710
"(45.1732740790765, 5.73067743596503)",1818.037310037982,10,5209,31243.0,56801327
"(45.1732791909874, 5.73057346596055)",1816.915796979836,4,5200,31243.0,56766286
"(45.1732617323978, 5.73053206785747)",1816.6981283397354,3,5198,31243.0,56759485
"(45.1732734350956, 5.73050748174056)",1816.3312136310772,2,5195,31243.0,56748021
"(45.1732956654956, 5.73052939159032)",1816.301893596359,3,5195,31243.0,56747105
"(45.1732979757974, 5.73049726030165)",1815.966634103692,2,5193,31243.0,56736630
"(45.1733326284462, 5.73035513053188)",1814.2652753521518,9,5179,31243.0,56683472
"(45.173357107028, 5.7302366294473)",1812.974106388089,7,5168,31243.0,56643130
"(45.1733700854269, 5.73016235669305)",1812.2217204552016,7,5161,31243.0,56619622
"(45.173115867069, 5.73157355780952)",1831.1422481840827,2,5291,31243.0,57210779
"(45.1731414876573, 5.73157477938606)",1830.8732367404464,2,5289,31243.0,57202374
"(45.1731209206719, 5.73161023265203)",1831.63850537223,2,5293,31243.0,57226284
"(45.1731217509813, 5.73166671911416)",1832.4916641167536,2,5298,31243.0,57252940
"(45.173119532294, 5.7247026048547)",1841.1487959621606,15,4783,31243.0,57523320
"(45.1737258980744, 5.72487517774382)",1830.7151010582513,8,4742,31243.0,57197334
"(45.1719956527387, 5.72429057857254)",1867.434198923859,9,4853,31243.0,58344564
"(45.1733081484181, 5.72477625960383)",1837.3517410787263,4,4771,31243.0,57404687
"(45.174091477167, 5.72500607160571)",1824.943422190804,8,4720,31243.0,57017006
"(45.1740185948892, 5.72497929519601)",1826.0447668131271,8,4724,31243.0,57051416
"(45.1734767625981, 5.72469733738835)",1836.561718414656,4,4751,31243.0,57380001
"(45.1742374463368, 5.72505568984524)",1822.883774889817,8,4711,31243.0,56952655
"(45.172230796188, 5.72437033488394)",1861.4939845325796,9,4838,31243.0,58158972
"(45.1718678647358, 5.72422074162171)",1871.3113665250685,16,4860,31243.0,58465699
"(45.1743120921909, 5.72508065941298)",1821.8778775475103,8,4707,31243.0,56921227
"(45.1723103127025, 5.72439813231126)",1859.5355825928598,9,4833,31243.0,58097785
"(45.173442570741, 5.72468401676327)",1837.2110701849433,4,4753,31243.0,57400289
"(45.1726232803191, 5.72450813491347)",1852.1325027185376,8,4813,31243.0,57866488
"(45.1721519507493, 5.72434423158902)",1863.4394237713586,9,4843,31243.0,58219754
"(45.1734135895923, 5.7248102774608)",1835.4422567946986,8,4765,31243.0,57345028
"(45.1725485507006, 5.72447985190491)",1853.8905095995615,8,4817,31243.0,57921414
"(45.1732727889535, 5.72476592646757)",1837.9868798583304,4,4774,31243.0,57424531
"(45.1737977285773, 5.72490405696864)",1829.4722507011859,8,4738,31243.0,57158503
"(45.1739444661894, 5.72495511985822)",1827.1463662900169,8,4729,31243.0,57085834
"(45.1720744796927, 5.72431731718774)",1865.4084212686555,9,4848,31243.0,58281272
"(45.1726986359802, 5.7245272881618)",1850.5639188934977,8,4807,31243.0,57817480
"(45.1734827886978, 5.724833656235)",1834.2043363450202,8,4760,31243.0,57306351
"(45.1732451176739, 5.72461306304639)",1840.988755952225,12,4766,31243.0,57518317
"(45.1741658792492, 5.7250301356701)",1823.896939632112,8,4715,31243.0,56984310
"(45.1738703522867, 5.72493043619627)",1828.2921036439104,8,4734,31243.0,57121631
"(45.1746025563507, 5.7249274758392)",1822.049727536162,16,4671,31243.0,56926590
"(45.1745661295379, 5.72467238400041)",1826.4701952181742,2,4656,31243.0,57064696
"(45.1745844955821, 5.72470655439161)",1825.7636637623089,2,4657,31243.0,57042622
"(45.1750920348198, 5.71291230469712)",2303.328125110793,6,5823,31243.0,71962977
"(45.1751668121596, 5.71250452665398)",2328.571179036778,6,5868,31243.0,72751638
"(45.1751111136133, 5.71231681895527)",2340.753232683944,6,5884,31243.0,73132240
"(45.1749707004906, 5.71324837727944)",2283.2751687149807,1,5784,31243.0,71336470
"(45.1749921612777, 5.7130439830318)",2295.66583630083,2,5805,31243.0,71723588
"(45.1752832800376, 5.71177706042252)",2375.1573084298884,7,5947,31243.0,74207115
"(45.1752708156764, 5.71185285349257)",2370.2144601981995,8,5939,31243.0,74052687
"(45.1752922680831, 5.7113305817732)",2404.8453343454,8,5993,31243.0,75134651
"(45.1752472466857, 5.71198860413343)",2361.422937909958,6,5924,31243.0,73778016
"(45.1750610121352, 5.71308454320947)",2292.8399111233193,8,5805,31243.0,71635297
"(45.1750387405148, 5.71319974407196)",2285.8969403574756,2,5792,31243.0,71418380
"(45.1751765625362, 5.71244780084557)",2332.1340269312964,4,5874,31243.0,72862951
"(45.1752126149931, 5.71221079594198)",2347.160476236075,2,5900,31243.0,73332418
"(45.1750517512752, 5.71265546831593)",2319.5355402851205,3,5847,31243.0,72469342
"(45.1751543016768, 5.71257878900379)",2323.921388858115,8,5860,31243.0,72606366
"(45.1600689439695, 5.72207229632888)",2482.218201567009,1,5843,31243.0,77552305
"(45.1598940244462, 5.7229838830765)",2472.6956640099775,3,5907,31243.0,77254799
"(45.1599363576208, 5.7227290283915)",2475.49616021383,3,5890,31243.0,77342293
"(45.1599089313043, 5.7229001527933)",2473.511963154862,3,5901,31243.0,77280302
"(45.1599785878088, 5.7224776922682)",2478.4948426189753,3,5873,31243.0,77435979
"(45.1599182441683, 5.72283724646546)",2474.2845668513532,2,5897,31243.0,77304440
"(45.1600015778097, 5.72237328243025)",2479.4040946545683,3,5865,31243.0,77464386
"(45.1601185233462, 5.72178261265961)",2486.4282320849816,1,5823,31243.0,77683837
"(45.1601167664865, 5.7218001349947)",2486.0703563963684,1,5824,31243.0,77672656
"(45.1601574265967, 5.72151698219994)",2491.074801469051,3,5806,31243.0,77829008
"(45.1598288023858, 5.72333962769978)",2469.719613445268,4,5932,31243.0,77161821
"(45.1601303252591, 5.72171985066351)",2487.30431390025,1,5819,31243.0,77711208
"(45.1599302515238, 5.72276744704228)",2475.036656230502,3,5892,31243.0,77327937
"(45.1601423831438, 5.72164829128536)",2488.4320382754568,3,5814,31243.0,77746441
"(45.1600937929017, 5.72194684490775)",2483.7464120770414,2,5834,31243.0,77600050
"(45.1745735682667, 5.72473545511005)",1825.3563558833582,3,4660,31243.0,57029897
"(45.1745786025476, 5.72463988114646)",1826.9294207941414,2,4653,31243.0,57079043
"(45.1745603016443, 5.72470552821995)",1825.9500949434535,2,4659,31243.0,57048447
"(45.1746026071302, 5.72463503985342)",1826.8450632992472,2,4650,31243.0,57076407
"(45.1745579179039, 5.72464822580199)",1826.9364176274541,2,4655,31243.0,57079262
"(45.1745707890413, 5.72477832526926)",1824.6721844134263,4,4663,31243.0,57008522
"(45.1745902255678, 5.72466130968772)",1826.4846458421919,2,4653,31243.0,57065147
"(45.1746661282782, 5.72415442946731)",1835.1266569938234,7,4692,31243.0,57335142
"(45.1746838708205, 5.72424666432544)",1833.2540815911125,1,4684,31243.0,57276638
"(45.1746598389195, 5.72407502144371)",1836.7106879077028,8,4699,31243.0,57384631
"(45.1746721524975, 5.72424294231928)",1833.4050555612187,1,4684,31243.0,57281355
"(45.1746791226774, 5.72422510745931)",1833.6923622267223,2,4686,31243.0,57290331
"(45.175696309219, 5.71905339204928)",1983.3234437079702,9,5242,31243.0,61965167
"(45.1755155195291, 5.72011462568628)",1942.9424328720409,9,5129,31243.0,60703563
"(45.1755004733135, 5.72020159856639)",1939.8413987667009,9,5120,31243.0,60606679
"(45.175432672581, 5.72059298345762)",1926.3153884711828,7,5078,31243.0,60184093
"(45.1754460247673, 5.72051701144308)",1928.887368631819,6,5086,31243.0,60264448
"(45.1754605621602, 5.72042853729695)",1931.9200988116997,6,5095,31243.0,60359198
"(45.1754729375865, 5.7203562863453)",1934.4209889600777,7,5103,31243.0,60437332
"(45.1757248568002, 5.71887986467466)",1990.3717852991504,9,5261,31243.0,62185375
"(45.1756129557172, 5.71954164088037)",1964.1627269801372,9,5190,31243.0,61366538
"(45.1755700952067, 5.71980167408049)",1954.3535592419073,9,5162,31243.0,61060075
"(45.1755831411677, 5.71971534865475)",1957.585405695642,9,5171,31243.0,61161046
"(45.1757106058235, 5.71896739359976)",1986.8003712600164,9,5251,31243.0,62073795
"(45.1757407074244, 5.71879306522883)",1993.9424634971267,9,5270,31243.0,62296932
"(45.1756811024742, 5.71913971952158)",1979.8652396064924,9,5233,31243.0,61857124
"(45.1755990712294, 5.71962893617283)",1960.8384426067857,9,5181,31243.0,61262679
"(45.1756268930866, 5.71945562177652)",1967.465918153166,9,5199,31243.0,61469738
"(45.1767000684287, 5.73024461906049)",1801.2681041001517,12,4909,31243.0,56277354
"(45.1766213919587, 5.73055674645602)",1804.1123640779358,6,4940,31243.0,56366223
"(45.1767187947568, 5.73054398341429)",1804.286377929947,3,4932,31243.0,56371658
"(45.1768743470235, 5.73074011786041)",1807.0486809475035,2,4936,31243.0,56457961
"(45.1768370988513, 5.73078892294815)",1807.4690854306975,6,4943,31243.0,56471097
"(45.1767260898502, 5.73058555194006)",1804.7563556005896,4,4934,31243.0,56386342
"(45.1766612603686, 5.73070808944887)",1805.911596913991,9,4949,31243.0,56422438
"(45.1766172950354, 5.7304289270469)",1802.7777865743453,2,4930,31243.0,56324525
"(45.176702156155, 5.73051956532719)",1803.9710783833932,3,4931,31243.0,56361807
"(45.1768489225142, 5.73073229463551)",1806.8537161985485,2,4937,31243.0,56451870
"(45.176608388187, 5.73050256480593)",1803.503414203816,6,4937,31243.0,56347197
"(45.1766882173887, 5.7305865018989)",1804.642198759484,3,4937,31243.0,56382776
"(45.1767002945395, 5.73078347635291)",1806.9121903687821,3,4953,31243.0,56453700
"(45.176640111482, 5.7304209543793)",1802.763014180992,1,4927,31243.0,56324063
"(45.1765771102259, 5.73044121768976)",1802.781537471233,4,4934,31243.0,56324643
"(45.1768275738447, 5.73073014662817)",1806.7480825918992,2,4939,31243.0,56448570
"(45.1767035882993, 5.73061384335589)",1804.9903358243264,3,4938,31243.0,56393653
"(45.1767260837981, 5.73080841146485)",1807.297941687764,3,4953,31243.0,56465752
"(45.1766474884298, 5.730412056239)",1802.6977594771063,1,4926,31243.0,56322024
"(45.1768542328613, 5.73068062441611)",1806.2842711981712,5,4933,31243.0,56434078
"(45.1792963203399, 5.72133092713893)",1922.8577434680913,7,5230,31243.0,60075993
"(45.179520480405, 5.72075920105519)",1944.784844043116,7,5297,31243.0,60761046
"(45.1793972321962, 5.7210730057995)",1932.5346926611685,7,5260,31243.0,60378323
"(45.1794943887298, 5.72082466920608)",1942.179051377501,7,5289,31243.0,60679635
"(45.1796242624353, 5.72036843557996)",1959.9234782703043,12,5340,31243.0,61234013
"(45.1792702534607, 5.72139645990492)",1920.448987462694,7,5223,31243.0,60000738
"(45.1792392460813, 5.7214761183253)",1917.5618410041352,9,5213,31243.0,59910537
"(45.1793704525384, 5.72113921035335)",1930.004340356034,7,5253,31243.0,60299269
"(45.1793226794512, 5.72126370517392)",1925.3477666346907,8,5238,31243.0,60153787
"(45.1788308652209, 5.7209442144716)",1928.7166710734025,19,5238,31243.0,60259049
"(45.1791295257347, 5.72175603679293)",1907.668123583534,9,5181,31243.0,59601435
"(45.1795448241157, 5.7206903590007)",1947.4924522947201,8,5305,31243.0,60845638
"(45.1790998823517, 5.72183585056339)",1904.947416342593,9,5172,31243.0,59516434
"(45.1795962444388, 5.72047491399836)",1955.72687276483,12,5328,31243.0,61102901
"(45.1790563029626, 5.72194741025195)",1901.169548924044,13,5159,31243.0,59398405
"(45.1791920379513, 5.72159789528271)",1913.2157720915748,14,5199,31243.0,59774756
"(45.1794233774826, 5.72100631867007)",1935.0930190217161,7,5268,31243.0,60458251
"(45.1836166760534, 5.73942606617374)",2195.9601744726288,6,5282,31243.0,68608690
"(45.1837144569673, 5.73929785259802)",2191.8630435751115,1,5265,31243.0,68480680
"(45.1594660917775, 5.73346613220509)",2501.2185241170323,12,6574,31243.0,78146033
"(45.1834588293463, 5.73952050924581)",2196.7549026424845,5,5300,31243.0,68633524
"(45.1834455392734, 5.73947744706619)",2194.092581311041,5,5297,31243.0,68550345
"(45.1835707487726, 5.73947691231278)",2197.429225085886,5,5290,31243.0,68654589
"(45.1836839070899, 5.73923209393668)",2187.5646703484085,8,5260,31243.0,68346386
"(45.1835596039669, 5.73942443584257)",2194.3248887977265,5,5285,31243.0,68557600
"(45.1835008591093, 5.73948617087691)",2196.0400937151003,6,5295,31243.0,68611190
"(45.1837265747772, 5.73929334031218)",2191.9612196566645,1,5264,31243.0,68483747
"(45.1731742721018, 5.71902436229431)",2008.1856854707432,10,5118,31243.0,62741977
"(45.1725236835583, 5.72134291702542)",1934.5186969855633,10,4911,31243.0,60440441
"(45.1726571918829, 5.72087459482996)",1947.5965403487896,10,4949,31243.0,60849024
"(45.1725569870199, 5.72122581965607)",1937.7059709405614,13,4921,31243.0,60540019
"(45.1732117483807, 5.71889095457076)",2013.0948029944657,11,5133,31243.0,62895350
"(45.1729190563464, 5.71993252706816)",1976.7313771267457,10,5026,31243.0,61759267
"(45.1724577646904, 5.72157697315884)",1928.3036744494311,10,4892,31243.0,60246269
"(45.1727210966068, 5.72063821765815)",1954.5985595728544,13,4968,31243.0,61067784
"(45.1729561552028, 5.71980253587369)",1981.0189418187445,10,5037,31243.0,61893221
"(45.1726231706095, 5.72098944840669)",1944.3284161044369,10,4940,31243.0,60746920
"(45.1726885015058, 5.72075389278208)",1951.1696310222658,10,4959,31243.0,60960656
"(45.173238347181, 5.71879345271985)",2016.7378230619654,11,5144,31243.0,63009167
"(45.1724957089679, 5.72144708400905)",1931.6991614415535,11,4903,31243.0,60352352
"(45.172787360526, 5.72040151881235)",1961.8052036521367,10,4988,31243.0,61292937
"(45.1731009310254, 5.71928312306446)",1998.888437540768,10,5089,31243.0,62451508
"(45.1728521355348, 5.72016800476897)",1969.1336666470113,10,5007,31243.0,61521896
"(45.17288659655, 5.72004852907505)",1972.952031549863,10,5017,31243.0,61641191
"(45.1731380018131, 5.71915314219425)",2003.5230265256923,10,5103,31243.0,62596304
"(45.172589443129, 5.72110689057406)",1941.023930459047,10,4930,31243.0,60643680
"(45.1730295581652, 5.71954199759219)",1989.8312459358713,10,5059,31243.0,62168539
"(45.1729922083809, 5.7196713379686)",1985.4356563079093,10,5048,31243.0,62031210
"(45.1777888301333, 5.72746927547527)",1800.067190191514,12,4603,31243.0,56239772
"(45.1773298255884, 5.72721352821009)",1798.0565797639886,5,4618,31243.0,56176959
"(45.1772879422475, 5.72719221989619)",1797.9243444924493,5,4620,31243.0,56172828
"(45.1776056295546, 5.72736513803322)",1799.1346041391782,7,4609,31243.0,56210637
"(45.177441295015, 5.7272659324827)",1798.4785056015187,13,4614,31243.0,56190140
"(45.1778347076555, 5.7275757015251)",1800.0531467268509,12,4608,31243.0,56239334
"(45.1772242009965, 5.72715337980163)",1797.7730286917931,4,4622,31243.0,56168101
"(45.1770637750868, 5.72700965055461)",1797.7599467454213,19,4624,31243.0,56167693
"(45.1771960097929, 5.72712326920328)",1797.7783399743266,4,4622,31243.0,56168267
"(45.1769411330154, 5.72677819749019)",1798.6861125514645,29,4615,31243.0,56196628
"(45.1775515994261, 5.72732494066566)",1798.9349955126597,7,4610,31243.0,56204401
"(45.1774441587731, 5.72224284537713)",1876.437966525619,7,5034,31243.0,58625760
"(45.1774020201345, 5.72229256638348)",1874.8649867374536,6,5027,31243.0,58576617
"(45.1773599749234, 5.72233835628131)",1873.4073308108825,6,5020,31243.0,58531077
"(45.177317492454, 5.72238581196474)",1871.9317503876582,7,5013,31243.0,58484977
"(45.177249159323, 5.7224668960795)",1869.4832496314746,6,5001,31243.0,58408481
"(45.1772079217697, 5.72251216190491)",1868.1242104938653,6,4995,31243.0,58366022
"(45.1771650286867, 5.72256016003149)",1866.708165312212,6,4987,31243.0,58321782
"(45.176790905084, 5.72312651119375)",1851.8776700136805,5,4912,31243.0,57858447
"(45.176822119683, 5.72308470513501)",1852.9055826437273,5,4918,31243.0,57890561
"(45.1768638881885, 5.72303384319163)",1854.1938842618547,7,4925,31243.0,57930810
"(45.1769443010293, 5.72292972176082)",1856.870732884533,6,4940,31243.0,58014440
"(45.1769844005931, 5.72288215351711)",1858.1349632954618,6,4947,31243.0,58053937
"(45.177051325696, 5.72269305940849)",1862.9221661617783,7,4968,31243.0,58203500
"(45.1770099411808, 5.72274450221733)",1861.5038819064214,7,4961,31243.0,58159190
"(45.1769674184834, 5.72279364202731)",1860.1618075236993,7,4954,31243.0,58117261
"(45.1768240226669, 5.72297123002318)",1855.5070410021006,7,4929,31243.0,57971837
"(45.1767846640296, 5.72302108211344)",1854.2455001093656,7,4922,31243.0,57932424
"(45.1776568128286, 5.72211941242899)",1881.2529542596785,6,5058,31243.0,58776188
"(45.1773586489625, 5.72244948750099)",1870.5432508021988,6,5009,31243.0,58441596
"(45.177528732527, 5.72225901751706)",1876.5820544524424,6,5037,31243.0,58630260
"(45.1772332449238, 5.72259211152462)",1866.2588825713121,6,4989,31243.0,58307744
"(45.1775985066774, 5.72207725248295)",1881.9677769812613,7,5059,31243.0,58798522
"(45.1771263681779, 5.72260927051926)",1865.3063019459853,6,4981,31243.0,58277985
"(45.1774852212488, 5.72230724912235)",1875.0166911453746,6,5030,31243.0,58581355
"(45.1775561867218, 5.72212477691396)",1880.3655088684352,7,5052,31243.0,58748464
"(45.1773172403007, 5.72249632603057)",1869.1143065364288,6,5002,31243.0,58396953
"(45.1772754002174, 5.72254344496622)",1867.6954126039593,6,4996,31243.0,58352624
"(45.1775132136973, 5.72217184313961)",1878.797072639468,7,5045,31243.0,58699463
"(45.1776141493044, 5.72216574555313)",1879.681157099608,6,5051,31243.0,58727082
"(45.1770663085857, 5.72278203818114)",1860.8387954192137,7,4961,31243.0,58138410
"(45.1767450872902, 5.7230769738429)",1852.870459204328,7,4914,31243.0,57889465
"(45.1768657460562, 5.72292291016166)",1856.757220839191,7,4936,31243.0,58010895
"(45.1771501089735, 5.72268594796638)",1863.5378280841844,6,4975,31243.0,58222733
"(45.1777075638833, 5.72199969125292)",1884.9367209307604,8,5072,31243.0,58891277
"(45.1771919270666, 5.72263954080483)",1864.8751339866733,6,4982,31243.0,58264513
"(45.1775713368591, 5.72221255376421)",1878.1140013828315,6,5044,31243.0,58678121
"(45.1774435409872, 5.72235383014675)",1873.5283077456033,6,5023,31243.0,58534855
"(45.1774006667274, 5.7224018312944)",1872.0168464284545,7,5016,31243.0,58487634
"(45.1769274019647, 5.72284655364898)",1858.758472167801,7,4947,31243.0,58073418
"(45.1777002947839, 5.72207311410531)",1882.8546149206595,7,5065,31243.0,58826227
"(45.1752993492109, 5.71983444585801)",1954.3783573430903,7,5145,31243.0,61060855
"(45.175163537307, 5.71951285024574)",1967.4599959979003,3,5169,31243.0,61469562
"(45.1746423395533, 5.71828238148265)",2021.966400724183,5,5264,31243.0,63172495
"(45.1753262038855, 5.7198957171929)",1951.9384355452503,7,5140,31243.0,60984625
"(45.1746606545481, 5.71832456756044)",2019.9769188092662,5,5261,31243.0,63110338
"(45.1747973207304, 5.71864786214818)",2005.0522353262488,3,5236,31243.0,62644049
"(45.1750634929927, 5.71927736181702)",1977.3504331502606,7,5187,31243.0,61778567
"(45.1747235857511, 5.71847068690091)",2013.1622628090674,3,5249,31243.0,62897429
"(45.1748085236844, 5.71867448496025)",2003.8426127483192,3,5233,31243.0,62606257
"(45.1748847619813, 5.71885537096865)",1995.7230793757888,3,5219,31243.0,62352580
"(45.175380244366, 5.72002235335778)",1946.9543423146686,7,5131,31243.0,60828908
"(45.1753536446732, 5.71996160598262)",1949.339883926804,7,5135,31243.0,60903439
"(45.1752560112825, 5.71972994819882)",1958.5694036638872,6,5153,31243.0,61191795
"(45.1750908848803, 5.71934184670145)",1974.6141874554341,7,5182,31243.0,61693079
"(45.1752332080959, 5.71967489625247)",1960.799582141536,6,5157,31243.0,61261472
"(45.1748721145256, 5.7188226804175)",1997.1712856252334,3,5222,31243.0,62397826
"(45.1749404008483, 5.71898591743041)",1989.9470614555028,14,5209,31243.0,62172121
"(45.1748587712649, 5.71879224110004)",1998.5331668409308,3,5224,31243.0,62440375
"(45.1747363219668, 5.71850032692351)",2011.7907151924294,3,5247,31243.0,62854578
"(45.1751513148799, 5.71948413082727)",1968.6506060464537,3,5171,31243.0,61506760
"(45.1763400933443, 5.73205157025607)",1824.8476875439608,7,5084,31243.0,57014082
"(45.1761488255187, 5.73302806502813)",1844.4078232373129,110,5179,31243.0,57625215
"(45.1612023688874, 5.72010553037484)",2461.701957830971,5,5754,31243.0,76911299
"(45.1610817041047, 5.72005614604045)",2471.665275641068,4,5767,31243.0,77222583
"(45.1608566676186, 5.72004025685977)",2487.7657222881585,14,5785,31243.0,77725610
"(45.1611113608087, 5.72009196861598)",2468.392824552111,3,5762,31243.0,77120342
"(45.1612761267321, 5.7201641666182)",2454.6630937788614,5,5744,31243.0,76691384
"(45.1610591606035, 5.72001663829562)",2474.585585699474,4,5772,31243.0,77313822
"(45.1611337474095, 5.72006566161277)",2467.768918838404,3,5763,31243.0,77100849
"(45.1607662958893, 5.71993979801434)",2497.550297989866,14,5800,31243.0,78031309
"(45.161043447434, 5.72005252292907)",2474.4195208615497,4,5770,31243.0,77308634
"(45.161237924569, 5.72013421153628)",2458.292838655203,5,5749,31243.0,76804788
"(45.160734398067, 5.71963146020495)",2510.678794262321,10,5828,31243.0,78441480
"(45.1607460440752, 5.71942969530113)",2517.192060301914,5,5844,31243.0,78644972
"(45.1611953276627, 5.72005968087629)",2463.776706274733,5,5759,31243.0,76976120
"(45.1611660363428, 5.72002337036224)",2467.0416041244407,5,5764,31243.0,77078125
